VEHICLE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Day,Weight
201757-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.9,6.65,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,TUE,0.382
201762-2,0.0,0.0,0.0,0.0,47.5,33.25,33.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,1.772
201763-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.48,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUN,0.6
201788-1,0.0,0.0,0.0,0.0,0.0,0.0,45.13,45.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.13,45.13,0.0,0.0,0.0,0.0,0.0,TUE,5.785
201803-1,0.0,0.0,0.0,0.0,0.0,0.0,35.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TUE,0.825
201810-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,2.85,2.85,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.621
201815-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,WED,0.556
201819-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,19.95,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.992
201834-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.45
201836-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.9,0.0,2.85,0.0,3.33,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,FRI,0.553
201868-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,12.35,0.0,0.0,0.0,0.0,0.0,MON,3.964
201868-3,0.0,0.0,0.0,0.0,0.0,0.0,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55,0.0,6.65,0.0,6.65,0.0,0.0,0.0,MON,2.738
201882-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WED,5.154
201886-1,0.0,0.0,0.0,0.0,0.0,0.0,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAT,1.085
201891-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,4.75,5.7,1.43,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,WED,0.991
201891-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,WED,0.955
201896-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUN,0.798
201898-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,2.86,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WED,0.802
201922-1,0.0,0.0,0.0,0.0,0.0,0.0,126.66,126.66,126.66,0.0,0.0,0.0,0.0,0.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,TUE,0.326
201937-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,7.61,0.0,7.42,7.13,0.0,0.0,0.0,0.0,0.0,WED,1.073
201938-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.991
201959-2,0.0,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.1
201963-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WED,0.485
201980-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,2.85,2.85,0.0,0.0,0.0,0.0,THU,1.103
201980-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,9.5,0.0,THU,1.843
202003-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRI,2.367
202015-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.85,0.0,0.0,21.85,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.993
202031-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,3.8,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRI,3.807
202035-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,2.85,0.0,0.0,0.0,THU,0.753
202040-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,1.24,0.0,2.85,0.0,2.85,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TUE,1.208
202064-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,14.25,0.0,0.0,0.0,0.0,WED,0.421
