,hhPersonID,ST_WOTAG_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
78,201341__4,SAT,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR
79,201344__1,WED,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR
80,201344__2,WED,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR
81,201348__1,MON,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR
82,201348__4,MON,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,FALSCH,FALSCH,WAHR
83,201351__1,MON,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR
84,201351__2,MON,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR
85,201356__1,TUE,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR
86,201363__1,TUE,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR
87,201369__1,MON,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR
88,201369__2,MON,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR
